year,fincomp_car_rate,bank_car_rate,mortg_rate,fedfund_rate,tbill_3m_rate
1931,,,,,1.4008334
1932,,,,,.87916666
1933,,,,,.51499999
1934,,,,,.25583333
1935,,,,,.13500001
1936,,,,,
1937,,,,,
1938,,,,,
1939,,,,,
1940,,,,,
1941,,,,,.11181819
1942,,,,,.32500002
1943,,,,,.37416667
1944,,,,,.37916666
1945,,,,,.38
1946,,,,,.38
1947,,,,,.59666669
1948,,,,,1.0408334
1949,,,,,1.1008333
1950,,,,,1.2175
1951,,,,,1.5525
1952,,,,,1.7675
1953,,,,,1.9399999
1954,,,,1.0066667,.94999999
1955,,,,1.785,1.745
1956,,,,2.7283335,2.6591666
1957,,,,3.105,3.2625
1958,,,,1.5725,1.8383334
1959,,,,3.3050001,3.4133334
1960,,,,3.2158334,2.9491668
1961,,,,1.9549999,2.3758333
1962,,,,2.7083333,2.7808332
1963,,,,3.1783333,3.1575
1964,,,,3.4966667,3.5525
1965,,,,4.0725002,3.9491668
1966,,,,5.1108336,4.8816667
1967,,,,4.2200003,4.3316669
1968,,,,5.6566668,5.3466668
1969,,,,8.2041664,6.6883335
1970,,,,7.1808333,6.4366665
1971,12.0975,,7.5466666,4.6608334,4.3400002
1972,11.9,10.05,7.3841667,4.4308333,4.0691667
1973,12.076667,10.21,8.0433331,8.7275,7.0266666
1974,12.614166,10.969999,9.189167,10.502501,7.875
1975,13.115,11.3625,9.0408335,5.8241668,5.8249998
1976,13.173333,11.07,8.8649998,5.0450001,4.9991665
1977,13.143333,10.9175,8.8408337,5.5374999,5.2641668
1978,13.145,11.02,9.6366663,7.9308333,7.2233334
1979,13.510834,12.015,11.1925,11.194167,10.0425
1980,14.818334,14.3,13.77,13.355833,11.615
1981,16.171667,16.540001,16.6325,16.378334,14.0775
1982,16.146667,16.825001,16.084167,12.258333,10.725
1983,12.580833,13.9175,13.2275,9.0866671,8.6199999
1984,14.6175,13.71,13.87,10.225,9.3941669
1985,11.98,12.91,12.424167,8.1008339,7.4850001
1986,9.4375,11.33,10.1775,6.8049998,5.9724998
1987,10.733334,10.452499,10.195833,6.6574998,5.8258333
1988,12.595833,10.855,10.338333,7.5683336,6.6716666
1989,12.619166,12.0675,10.324166,9.2166672,8.1158333
1990,12.5375,11.7825,10.13,8.0991669,7.5100002
1991,12.409166,11.1375,9.2491665,5.6875,5.4091668
1992,9.9316664,9.29,8.4008331,3.5216668,3.46
1993,9.4766665,8.0874996,7.3299999,3.0225,3.0191667
1994,9.7883339,8.1149998,8.3558331,4.2016668,4.27
1995,11.191667,9.5699997,7.9549999,5.8366666,5.5133333
1996,9.8366671,9.0474997,7.8058333,5.2983332,5.0241666
1997,7.125,9.0174999,7.5958333,5.46,5.0700002
1998,6.2966666,8.7224998,6.9441667,5.3533335,4.8191667
1999,6.6591668,8.4349995,7.4291668,4.9699998,4.6599998
2000,6.6116667,9.335,8.0633335,6.2358332,5.8505831
2001,5.6441665,8.5025005,6.9724998,3.8875,3.4550416
2002,4.2908335,6.7150002,6.5374999,1.6666666,1.6120417
2003,2.8699999,,5.8800001,1.25,1.154
