year,mth,fincomp_car_rate,bank_car_rate,mortg_rate,fedfund_rate,tbill_3m_rate
1931,1,,,,,.94999999
1931,2,,,,,1.21
1931,3,,,,,1.46
1931,4,,,,,1.3099999
1931,5,,,,,1.01
1931,6,,,,,.63
1931,7,,,,,.47999999
1931,8,,,,,.60000002
1931,9,,,,,1.22
1931,10,,,,,2.47
1931,11,,,,,2.22
1931,12,,,,,3.25
1932,1,,,,,2.6800001
1932,2,,,,,2.6500001
1932,3,,,,,2.0799999
1932,4,,,,,.76999998
1932,5,,,,,.43000001
1932,6,,,,,.41
1932,7,,,,,.41999999
1932,8,,,,,.44
1932,9,,,,,.23
1932,10,,,,,.18000001
1932,11,,,,,.18000001
1932,12,,,,,.079999998
1933,1,,,,,.20999999
1933,2,,,,,.47999999
1933,3,,,,,2.29
1933,4,,,,,.56
1933,5,,,,,.41999999
1933,6,,,,,.27000001
1933,7,,,,,.37
1933,8,,,,,.20999999
1933,9,,,,,.1
1933,10,,,,,.16
1933,11,,,,,.41999999
1933,12,,,,,.69
1934,1,,,,,.67000002
1934,2,,,,,.63
1934,3,,,,,.27000001
1934,4,,,,,.18000001
1934,5,,,,,.14
1934,6,,,,,.07
1934,7,,,,,.07
1934,8,,,,,.2
1934,9,,,,,.27000001
1934,10,,,,,.20999999
1934,11,,,,,.22
1934,12,,,,,.14
1935,1,,,,,.14
1935,2,,,,,.11
1935,3,,,,,.15000001
1935,4,,,,,.17
1935,5,,,,,.14
1935,6,,,,,.13
1935,7,,,,,.059999999
1935,8,,,,,.1
1935,9,,,,,.20999999
1935,10,,,,,.19
1935,11,,,,,.13
1935,12,,,,,.090000004
1936,1,,,,,
1936,2,,,,,
1936,3,,,,,
1936,4,,,,,
1936,5,,,,,
1936,6,,,,,
1936,7,,,,,
1936,8,,,,,
1936,9,,,,,
1936,10,,,,,
1936,11,,,,,
1936,12,,,,,
1937,1,,,,,
1937,2,,,,,
1937,3,,,,,
1937,4,,,,,
1937,5,,,,,
1937,6,,,,,
1937,7,,,,,
1937,8,,,,,
1937,9,,,,,
1937,10,,,,,
1937,11,,,,,
1937,12,,,,,
1938,1,,,,,
1938,2,,,,,
1938,3,,,,,
1938,4,,,,,
1938,5,,,,,
1938,6,,,,,
1938,7,,,,,
1938,8,,,,,
1938,9,,,,,
1938,10,,,,,
1938,11,,,,,
1938,12,,,,,
1939,1,,,,,
1939,2,,,,,
1939,3,,,,,
1939,4,,,,,
1939,5,,,,,
1939,6,,,,,
1939,7,,,,,
1939,8,,,,,
