unemp,sippst,year,mth
15.4,1,1983,1
15.2,1,1983,2
14.4,1,1983,3
14.4,1,1983,4
14,1,1983,5
13.6,1,1983,6
13.5,1,1983,7
13.1,1,1983,8
12.9,1,1983,9
12.7,1,1983,10
12.4,1,1983,11
12.1,1,1983,12
12.1,1,1984,1
11.9,1,1984,2
11.6,1,1984,3
11.6,1,1984,4
11.3,1,1984,5
11.3,1,1984,6
11.3,1,1984,7
11,1,1984,8
11,1,1984,9
10.3,1,1984,10
10.2,1,1984,11
10.4,1,1984,12
9.6999998,1,1985,1
9.5,1,1985,2
9.3000002,1,1985,3
8.8999996,1,1985,4
8.8000002,1,1985,5
8.6000004,1,1985,6
8.5,1,1985,7
8.5,1,1985,8
8.6000004,1,1985,9
8.6000004,1,1985,10
8.6999998,1,1985,11
8.8999996,1,1985,12
9.1000004,1,1986,1
9.5,1,1986,2
10,1,1986,3
10.1,1,1986,4
10.3,1,1986,5
10.4,1,1986,6
10.1,1,1986,7
10,1,1986,8
9.8000002,1,1986,9
9.6999998,1,1986,10
9.6000004,1,1986,11
9.3999996,1,1986,12
8.8999996,1,1987,1
8.6999998,1,1987,2
8.3999996,1,1987,3
8,1,1987,4
7.9000001,1,1987,5
7.5,1,1987,6
7.5,1,1987,7
7.4000001,1,1987,8
7.4000001,1,1987,9
7.3000002,1,1987,10
7.0999999,1,1987,11
7.0999999,1,1987,12
7.1999998,1,1988,1
7.0999999,1,1988,2
6.8000002,1,1988,3
7.3000002,1,1988,4
7.1999998,1,1988,5
7.0999999,1,1988,6
7.0999999,1,1988,7
7.4000001,1,1988,8
7.3000002,1,1988,9
7.3000002,1,1988,10
7.4000001,1,1988,11
7.3000002,1,1988,12
7.4000001,1,1989,1
7.0999999,1,1989,2
7,1,1989,3
7.1999998,1,1989,4
7,1,1989,5
7.3000002,1,1989,6
7.1999998,1,1989,7
7,1,1989,8
7,1,1989,9
6.8000002,1,1989,10
6.8000002,1,1989,11
6.5999999,1,1989,12
6.6999998,1,1990,1
7,1,1990,2
7.0999999,1,1990,3
6.6999998,1,1990,4
6.6999998,1,1990,5
6.6999998,1,1990,6
6.8000002,1,1990,7
6.9000001,1,1990,8
7,1,1990,9
6.9000001,1,1990,10
7,1,1990,11
6.9000001,1,1990,12
7.1999998,1,1991,1
7.5999999,1,1991,2
7.5,1,1991,3
7.5,1,1991,4
7.4000001,1,1991,5
7.1999998,1,1991,6
7.0999999,1,1991,7
7,1,1991,8
7,1,1991,9
7,1,1991,10
7.0999999,1,1991,11
7.4000001,1,1991,12
7.3000002,1,1992,1
7.5,1,1992,2
7.5,1,1992,3
7.5,1,1992,4
7.5,1,1992,5
7.5,1,1992,6
7.4000001,1,1992,7
7.3000002,1,1992,8
7.3000002,1,1992,9
7.3000002,1,1992,10
7.4000001,1,1992,11
7.5,1,1992,12
7.5999999,1,1993,1
7.5,1,1993,2
7.5999999,1,1993,3
7.8000002,1,1993,4
7.8000002,1,1993,5
7.9000001,1,1993,6
8.1999998,1,1993,7
7.6999998,1,1993,8
7.5999999,1,1993,9
7.4000001,1,1993,10
7.3000002,1,1993,11
7,1,1993,12
6.8000002,1,1994,1
6.5,1,1994,2
6.3000002,1,1994,3
6,1,1994,4
5.9000001,1,1994,5
5.6999998,1,1994,6
5.8000002,1,1994,7
5.8000002,1,1994,8
5.6999998,1,1994,9
5.9000001,1,1994,10
5.8000002,1,1994,11
5.9000001,1,1994,12
6,1,1995,1
6.1999998,1,1995,2
6.1999998,1,1995,3
6.3000002,1,1995,4
6.4000001,1,1995,5
6.5999999,1,1995,6
6.8000002,1,1995,7
6.5,1,1995,8
6.3000002,1,1995,9
6.1999998,1,1995,10
6,1,1995,11
5.8000002,1,1995,12
5.5999999,1,1996,1
5.3000002,1,1996,2
5.5,1,1996,3
5.4000001,1,1996,4
5.1999998,1,1996,5
5,1,1996,6
5,1,1996,7
4.8000002,1,1996,8
4.9000001,1,1996,9
4.9000001,1,1996,10
4.9000001,1,1996,11
4.9000001,1,1996,12
5.0999999,1,1997,1
5.0999999,1,1997,2
5.0999999,1,1997,3
5.1999998,1,1997,4
5.1999998,1,1997,5
5.3000002,1,1997,6
5.4000001,1,1997,7
5.0999999,1,1997,8
5.0999999,1,1997,9
4.9000001,1,1997,10
4.6999998,1,1997,11
4.5,1,1997,12
4.3000002,1,1998,1
4.0999999,1,1998,2
4.1999998,1,1998,3
4.0999999,1,1998,4
4.1999998,1,1998,5
4.0999999,1,1998,6
4.0999999,1,1998,7
4.0999999,1,1998,8
4.1999998,1,1998,9
4.3000002,1,1998,10
4.4000001,1,1998,11
4.4000001,1,1998,12
4.3000002,1,1999,1
4.4000001,1,1999,2
4.6999998,1,1999,3
4.8000002,1,1999,4
4.9000001,1,1999,5
4.9000001,1,1999,6
4.9000001,1,1999,7
4.9000001,1,1999,8
4.9000001,1,1999,9
4.8000002,1,1999,10
4.8000002,1,1999,11
4.8000002,1,1999,12
4.6999998,1,2000,1
4.5999999,1,2000,2
4.4000001,1,2000,3
4.5,1,2000,4
4.5,1,2000,5
4.5,1,2000,6
4.5,1,2000,7
4.5999999,1,2000,8
4.5999999,1,2000,9
4.6999998,1,2000,10
4.6999998,1,2000,11
4.6999998,1,2000,12
4.9000001,1,2001,1
4.9000001,1,2001,2
5,1,2001,3
5,1,2001,4
5,1,2001,5
5.1999998,1,2001,6
5.3000002,1,2001,7
5.4000001,1,2001,8
5.5,1,2001,9
5.6999998,1,2001,10
5.9000001,1,2001,11
6,1,2001,12
5.3000002,1,2002,1
5.5,1,2002,2
6,1,2002,3
5.5999999,1,2002,4
5.6999998,1,2002,5
5.4000001,1,2002,6
5.6999998,1,2002,7
11.7,4,1983,1
11.7,4,1983,2
11.1,4,1983,3
10.4,4,1983,4
9.8999996,4,1983,5
9.5,4,1983,6
9.1999998,4,1983,7
8.5,4,1983,8
7.4000001,4,1983,9
7.1999998,4,1983,10
6.5,4,1983,11
6.0999999,4,1983,12
5.6999998,4,1984,1
5.3000002,4,1984,2
5.0999999,4,1984,3
5,4,1984,4
4.8000002,4,1984,5
4.4000001,4,1984,6
4.4000001,4,1984,7
4.5,4,1984,8
4.5999999,4,1984,9
4.8000002,4,1984,10
5.0999999,4,1984,11
5.4000001,4,1984,12
5.5999999,4,1985,1
6,4,1985,2
6.0999999,4,1985,3
6.1999998,4,1985,4
6.5999999,4,1985,5
6.9000001,4,1985,6
7,4,1985,7
6.6999998,4,1985,8
6.8000002,4,1985,9
6.8000002,4,1985,10
6.6999998,4,1985,11
6.5999999,4,1985,12
6.5999999,4,1986,1
6.5999999,4,1986,2
6.8000002,4,1986,3
6.9000001,4,1986,4
6.9000001,4,1986,5
7.0999999,4,1986,6
7.0999999,4,1986,7
7.0999999,4,1986,8
7.0999999,4,1986,9
7,4,1986,10
7,4,1986,11
6.9000001,4,1986,12
7,4,1987,1
6.8000002,4,1987,2
6.6999998,4,1987,3
6.5,4,1987,4
6.3000002,4,1987,5
6.1999998,4,1987,6
6,4,1987,7
5.9000001,4,1987,8
5.9000001,4,1987,9
5.9000001,4,1987,10
5.9000001,4,1987,11
6,4,1987,12
6.1999998,4,1988,1
6.1999998,4,1988,2
6.3000002,4,1988,3
6.4000001,4,1988,4
6.5999999,4,1988,5
6.3000002,4,1988,6
6.3000002,4,1988,7
6.1999998,4,1988,8
6.1999998,4,1988,9
6.3000002,4,1988,10
6.0999999,4,1988,11
6.0999999,4,1988,12
5.5999999,4,1989,1
5.5,4,1989,2
5.1999998,4,1989,3
5.1999998,4,1989,4
5.0999999,4,1989,5
5.1999998,4,1989,6
5.1999998,4,1989,7
5.4000001,4,1989,8
