year,sippst,age,race,mardum,ed,ui_yn,spell,dur,templayoff,censrd,seam1wks,seam2wks,hh_twlth,unemprate,gind,occ,annwg,wba,avgwba,hh_theq,hh_liq,hh_netliq,l_avgwba,l_maxwba,l_wba,l_annwg_spl1,l_annwg_spl2,l_annwg_spl3,l_annwg_spl4,l_annwg_spl5,l_annwg_spl6,l_annwg_spl7,l_annwg_spl8,l_annwg_spl9,l_annwg_spl10,id,hasmortg,l_hh_twlth,maxwba,l_annwg,unemprate2,year1,year2,year3,ind99,ind4,delta
1997,New York,44,White,1,13,yes,2,17,0,0,10,27,22622,6.1999998,4,6,28584.619,165.14685,165.94421,17100.936,1570.0287,918.56451,5.1116519,5.4983931,5.1068349,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.17621394,0,3,1,10.026678,244.29904,10.260624,38.439999,0,0,1,0,1,1
1994,New York,21,White,0,12,yes,1,10,0,0,10,27,111145,7.3000002,4,5,12393.864,193.81367,179.33769,91276.578,660.55536,-221.36101,5.1892705,5.5781245,5.2668972,8.3230162,.44986501,.27958801,.220351,.15213728,0,0,0,0,0,7,1,11.618591,264.57495,9.4249573,53.290001,0,1,0,0,1,1
1990,West Virginia,22,Black,0,15,yes,1,73,0,0,4,21,3670,8.6000004,8,2,8000,238.86981,146.14,0,20,-4980,4.9845653,5.5254531,5.4759188,8.3230162,.44986501,.21431592,0,0,0,0,0,0,0,15,0,8.2079468,251.00003,8.9871969,73.960007,0,1,0,0,0,1
1991,Texas,28,Black,0,11,yes,1,4,0,0,7,24,0,7.1999998,6,2,8767.0723,188.92015,163.24066,0,0,0,5.0952253,5.3704262,5.2413244,8.3230162,.44986501,.27958801,.02628924,0,0,0,0,0,0,28,0,,214.95445,9.0787582,51.839996,0,1,0,0,0,1
1986,Rhode Island,51,White,0,12,yes,1,10,0,0,6,23,26352,4.1999998,6,6,34779.793,227.77098,156.61342,25042.883,434.07663,434.07663,5.0537806,5.4283404,5.4283404,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.073431879,31,1,10.179299,227.77094,10.456792,17.639997,1,0,0,0,0,1
1997,Wisconsin,47,Black,0,12,yes,2,12,0,0,12,29,5132,3.5,7,7,11376.193,115.70161,153.47682,0,229.64113,-9542.3213,5.0335498,5.4365177,4.7510147,8.3230162,.44986501,.27958801,.220351,.066458218,0,0,0,0,0,37,0,8.543251,229.64111,9.3392782,12.25,0,0,1,0,0,1
1986,Texas,28,White,0,14,yes,1,10,0,0,17,34,495025,9.3000002,9,3,44638.344,164.88817,193.11641,35775.547,547962.13,545863.31,5.2632933,5.4892731,5.1052675,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.32298842,58,0,13.112364,242.08116,10.706348,86.490005,1,0,0,0,0,1
1999,Texas,53,Asian or Pacific Islander,1,12,yes,1,22,0,1,5,22,36750,4.6999998,6,7,27777.279,214.27534,176.79802,23535.414,4314.8257,4314.8257,5.1750078,5.416791,5.3672619,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.14756365,0,60,0,10.511893,225.15543,10.231974,22.089998,0,0,1,0,0,0
1994,California,52,White,1,12,yes,1,10,0,0,13,30,192646,8.6999998,5,1,21115.723,202.84076,135.74457,140224.7,12697.831,-707.29694,4.9107747,5.3124213,5.3124213,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.10212821,0,0,62,0,12.16861,202.84077,9.9577732,75.689995,0,1,0,0,0,1
1990,California,54,White,0,16,yes,1,80,0,0,16,33,456596,6.4000001,2,2,53784,190,131.32001,248000,195000,194200,4.8776374,5.2470241,5.2470241,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.50937164,69,1,13.031554,190,10.892732,40.960003,0,1,0,0,0,1
1987,Minnesota,32,White,0,12,yes,1,70,0,1,18,35,7200,4.6999998,99,99,7777.5708,183.39754,203.35587,0,7133.2749,7133.2749,5.3149576,5.6616821,5.2116561,8.3230162,.44986501,.18611863,0,0,0,0,0,0,0,72,0,8.8818359,287.63208,8.9589996,22.089998,1,0,0,1,0,0
1994,New York,24,Black,0,12,yes,2,69,0,1,17,34,0,6.5,99,99,2869.1677,97.063278,179.33769,0,0,0,5.1892705,5.5781245,4.5753632,7.9617772,0,0,0,0,0,0,0,0,0,76,0,,264.57495,7.9617772,42.25,0,1,0,1,0,0
1993,Connecticut,35,White,0,16,yes,1,26,0,0,15,32,13200,6,8,4,26688.125,164.41873,202.6257,0,8864.083,2532.595,5.3113604,5.62321,5.1024165,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.10756369,0,95,0,9.4879723,276.7764,10.191974,36,0,1,0,0,0,1
1997,Kentucky,38,White,1,7,yes,1,18,0,0,6,23,20841,5.5,2,5,10379.453,200.32524,143.24883,6514.6416,0,-2605.8567,4.9645829,5.299942,5.299942,8.3230162,.44986501,.27958801,.19511439,0,0,0,0,0,0,101,1,9.9446774,200.3252,9.2475834,30.25,0,0,1,0,0,1
1997,California,27,White,1,10,yes,2,17,0,0,14,31,4471,6.1999998,5,6,6151.4507,86.883568,123.65605,0,0,-1302.9283,4.8175039,5.2326899,4.4645691,8.3230162,.40142745,0,0,0,0,0,0,0,0,102,0,8.4053679,187.29593,8.7244434,38.439999,0,0,1,0,0,1
1993,Indiana,51,White,0,12,yes,1,26,0,0,10,27,47579,5.0999999,6,3,14517.196,153.76469,128.15836,25713.98,9044.9824,7235.9858,4.8532667,5.0354233,5.0354233,8.3230162,.44986501,.27958801,.220351,.195071,.11519787,0,0,0,0,105,1,10.770146,153.76466,9.5830889,26.009998,0,1,0,0,0,1
1992,Texas,37,White,1,11,yes,1,7,0,0,7,24,19100,7.6999998,7,5,15778.089,145.86423,164.05971,18631.504,93.157516,-3633.1433,5.1002302,5.3715391,4.982676,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.011351068,0,0,0,107,0,9.8574438,215.19382,9.6663771,59.289997,0,1,0,0,0,1
1986,California,48,Black,1,12,yes,1,26,0,0,11,28,5101,6.5999999,6,6,13075.963,153.35065,141.1703,0,31.005474,-461.50455,4.9499669,5.2880549,5.0327272,8.3230162,.44986501,.27958801,.220351,.195071,.010639884,0,0,0,0,111,0,8.5371923,197.95801,9.4785309,43.559998,1,0,0,0,0,1
1992,Kentucky,49,White,1,12,yes,1,24,0,0,12,30,26428,7,3,7,10996.313,194.69922,134.54739,18967.803,5150.6792,2050.397,4.9019165,5.2714558,5.2714558,8.3230162,.44986501,.27958801,.220351,.032495018,0,0,0,0,0,113,1,10.182179,194.69919,9.305315,49,0,1,0,0,0,1
1991,Minnesota,20,White,0,12,yes,1,12,0,0,17,34,9016,5.3000002,6,7,6425.6035,104.37194,186.61696,0,1070.934,1070.934,5.2290583,5.5385098,4.6479607,8.3230162,.44502944,0,0,0,0,0,0,0,0,120,0,9.1067562,254.29877,8.7680454,28.090002,0,1,0,0,0,1
1994,New York,53,Black,1,10,yes,1,25,0,0,2,19,699,6.1999998,4,7,23811.742,232.66403,179.33769,0,175.50136,-6879.8296,5.1892705,5.5781245,5.4495955,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.22228926,0,0,128,0,6.5496507,264.57495,10.077934,38.439999,0,1,0,0,1,1
1993,Pennsylvania,48,White,1,16,yes,1,22,0,0,17,34,63262,7.3000002,99,99,14790.354,270.46393,190.31548,45224.91,4314.4565,-5499.3491,5.248683,5.6895852,5.6001387,8.3230162,.44986501,.27958801,.220351,.195071,.13383935,0,0,0,0,129,0,11.05504,295.7709,9.6017303,53.290001,0,1,0,1,0,1
1991,New York,45,White,1,18,yes,1,17,0,0,4,22,132764,7.3000002,8,2,27099.619,249.50073,182.68251,120696.94,3334.6733,926.03156,5.2077498,5.5194616,5.5194616,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.12286539,0,130,1,11.796329,249.50067,10.207275,53.290001,0,1,0,0,0,1
1986,Pennsylvania,34,Black,1,16,yes,1,20,0,0,2,20,1250,6.5999999,4,5,32579.598,276.66425,184.92381,0,596.25909,-6797.354,5.219944,5.6228046,5.6228046,8.3230162,.44986501,.27958801,.220351,.195071,.187135,.200619,.228765,.29894999,.0080813449,138,0,7.130899,276.66425,10.391441,43.559998,1,0,0,0,1,1
