"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.497423894309699","0.0241325644401559","0.0680883314801937","0.0458090964490184","0.0445964294528307","0.0458090964490184","0.0445964294528307","0.0206245169879137","0.0478757319597459","0.0336882590474196","0.0351387900204333","0.0336882590474196","0.0351387900204333","0.0102279323118606","0.0129444695640791","0.0115926800008863","0.0116348970112822","0.0115926800008863","0.0116348970112822","400","0%"
"t = 0.520605609033673","0.0250686306076358","0.0705301985370919","0.0482488821678154","0.0468133928626271","0.0482488821678154","0.0468133928626271","0.0214876025310778","0.0513127206992167","0.0355381503025118","0.0374011976221988","0.0355381503025118","0.0374011976221988","0.0107041882676776","0.0138248898676919","0.0121500381302161","0.0121995928678292","0.0121500381302161","0.0121995928678292","400","0%"
"t = 0.543787323757646","0.0259893150226487","0.0729624092436675","0.0500514129263124","0.0485030447449664","0.0500514129263124","0.0485030447449664","0.0222955999262104","0.0551152319150907","0.0372373380337239","0.039350967135139","0.0372373380337239","0.039350967135139","0.0110757869528598","0.0144680931860057","0.0125310839090135","0.0126006206393502","0.0125310839090135","0.0126006206393502","400","0%"
"t = 0.56696903848162","0.0269006280573637","0.0750343861335288","0.0514626639320913","0.0497130128627938","0.0514626639320913","0.0497130128627938","0.023271106728554","0.0589635535981356","0.0387285904196518","0.0411265436791493","0.0387285904196518","0.0411265436791493","0.0115762506342648","0.0152256727820475","0.0129373743506973","0.0129841436135718","0.0129373743506973","0.0129841436135718","400","0%"
"t = 0.590150753205593","0.0283877684254849","0.0768235235513745","0.0524754711625991","0.050535614738349","0.0524754711625991","0.050535614738349","0.0246561909389813","0.0629434553881948","0.0403606689051458","0.0430369402558394","0.0403606689051458","0.0430369402558394","0.0119743799048159","0.0160269634846005","0.0134727009636931","0.013528013670588","0.0134727009636931","0.013528013670588","400","0%"
"t = 0.613332467929567","0.0294834121701065","0.0782270472118534","0.0528965403216294","0.0509880722122084","0.0528965403216294","0.0509880722122084","0.0258001217354135","0.0668724575381172","0.0414299361986515","0.0444368298047267","0.0414299361986515","0.0444368298047267","0.0124112104847065","0.0166182514251019","0.0138114161862102","0.0139016145846473","0.0138114161862102","0.0139016145846473","400","0%"
"t = 0.63651418265354","0.0303986344772603","0.0797701481373181","0.0537372203277062","0.0517838552797431","0.0537372203277062","0.0517838552797431","0.0267468297070181","0.0713685908408439","0.0427078760748597","0.046117108693756","0.0427078760748597","0.046117108693756","0.0128895125935844","0.0171521788374136","0.0141433819209009","0.0143157980915157","0.0141433819209009","0.0143157980915157","400","0%"
"t = 0.659695897377513","0.0312076747610146","0.0806123995881412","0.0530504362131895","0.0511284150893559","0.0530504362131895","0.0511284150893559","0.0275850936563033","0.0753511553346506","0.0428886968469415","0.0465591253978967","0.0428886968469415","0.0465591253978967","0.0133680414372188","0.0176768600195302","0.0146594217219634","0.0148733786901251","0.0146594217219634","0.0148733786901251","400","0%"
"t = 0.682877612101487","0.0321161919325808","0.0811347141500354","0.0550952738754414","0.0530423769593243","0.0550952738754414","0.0530423769593243","0.0287692336226039","0.0793498673519193","0.0450043521542201","0.0491302764548762","0.0450043521542201","0.0491302764548762","0.0137584394728775","0.0181934502237195","0.0149474367924045","0.0151438863047494","0.0149474367924045","0.0151438863047494","400","0%"
"t = 0.70605932682546","0.0329092125669253","0.0814633461507122","0.0569073781266017","0.0547294063699637","0.0569073781266017","0.0547294063699637","0.0297193530844115","0.0834414267142206","0.0472136204489451","0.0516768369004808","0.0472136204489451","0.0516768369004808","0.0141066053464094","0.0186831422064137","0.0153915241269804","0.0156010057101962","0.0153915241269804","0.0156010057101962","400","0%"
