"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.497423894309699","-0.00953153604556483","-0.0720195348166374","-0.00906560173296258","-0.00540574286590204","-0.00839740959988372","-0.0048496717140312","-0.00776191524002636","-0.0520637656805246","0.0119698508186449","0.00751888664274385","0.0121904732428277","0.00778340114900164","0.00489059787601021","-0.00414515264914737","-0.00161635874955971","-0.00111949788786853","-0.00171854902430496","-0.00122828034284148","100","10%"
"t = 0.520605609033673","-0.00874870945965632","-0.0743671534194743","-0.00776358390370432","-0.00381033436724331","-0.00540464761344744","-0.00164523412909863","-0.00711000792745265","-0.0559200553871977","0.0118796383783467","0.00669155774125314","0.0118575852633619","0.00674821580252906","0.00457206364858392","-0.00448304015310726","-0.00126521137522423","-0.000660062371861882","0.00105375477723857","0.00166268674255471","100","10%"
"t = 0.543787323757646","-0.0092796010775674","-0.0765086210008585","-0.0082793632684712","-0.0037437384397149","-0.00459896927436041","-0.000334385148030544","-0.00770469017910934","-0.0599553894890766","0.010763129210794","0.00472942384828364","0.0102184893536464","0.00431456781612406","0.00485096897935605","-0.00476655808032657","-0.00114362350215316","-0.000406195134092911","0.00388424105553931","0.00465246167580122","100","10%"
"t = 0.56696903848162","-0.0093944755731033","-0.0783165513960505","-0.00854709043420069","-0.00364133913588988","-0.00382386015294927","0.000819703366870678","-0.00795865190801551","-0.0640933465255674","0.00936052393148786","0.00229821439805913","0.00833490827821871","0.00145075668004397","0.00506094100685242","-0.00498312533537297","-0.000763401177560464","0.000114077951746395","0.00680808684274277","0.0077476684181598","100","10%"
"t = 0.590150753205593","-0.00859822495686588","-0.078931819573549","-0.00926422745425151","-0.00378418182648383","-0.00354481768296894","0.00157673148161605","-0.00732797434436071","-0.0672833596503135","0.00819757558592215","0.00017648310596257","0.0073271402588055","-0.000447110778148839","0.00481973245990773","-0.00550269960200169","-0.00103940542840224","2.84504294255732e-06","0.00890544801374715","0.0100244192773749","100","10%"
"t = 0.613332467929567","-0.00777450153542764","-0.0791974595486777","-0.00823718556430735","-0.00234009728652171","-0.00136152625438315","0.00412124252069496","-0.00666052972040402","-0.0703563514837053","0.00855494410395869","-0.000397148493202278","0.00792181154044088","-0.000603241188313646","0.00455279983811752","-0.00603194810148261","-0.00133534962639041","-0.000138228512564214","0.0109470320119669","0.0122360423591998","100","10%"
"t = 0.63651418265354","-0.00717005642760683","-0.0792023115117261","-0.00686821650120804","-0.000346754006909055","0.000644785658742825","0.00674010659392782","-0.00623373813592296","-0.0736014371873761","0.00887854401002552","-0.00104153213325687","0.00798352524513409","-0.00130310061582043","0.00439225833979603","-0.0064956318148435","-0.00135210100867114","4.91245838665278e-05","0.0134682602858845","0.0149889889520035","100","10%"
"t = 0.659695897377513","-0.00657588705720827","-0.078968442856143","-0.00436521001412321","0.0024910970752443","0.00488104022631774","0.0112258688269217","-0.00579184374772471","-0.0767529844634229","0.00989085594166963","-0.00111011505396927","0.00993816869250929","-0.000165656785961478","0.00428570218660565","-0.00687122819461242","-0.00138332923764849","0.000218734754481199","0.0157995876419524","0.0175382826303831","100","10%"
"t = 0.682877612101487","-0.00620537649231468","-0.0785648189984491","-0.00312840265836585","0.00419504948611351","0.00752887392373286","0.0143078696310045","-0.00560361728670332","-0.0800033755587954","0.00959259073831927","-0.00233876977774631","0.0105468965090988","-0.000254312173472843","0.0042445140223313","-0.00710162100033014","-0.00103840748355159","0.00080810553937518","0.0183097926632229","0.020300690295191","100","10%"
"t = 0.70605932682546","-0.0050054852259339","-0.0772219179311662","-0.00468827463901463","0.00321004126341907","0.00650045950808025","0.0138545430017287","-0.00455689930825826","-0.0823435137493056","0.00797484004730704","-0.00535634356110914","0.00897421149759662","-0.00295879482713145","0.00373381490459588","-0.00770154417008269","-0.00194222116275943","0.000157024093582809","0.0195713366071045","0.02183847216344","100","10%"
"t = 0.729241041549434","-0.00438497812416431","-0.0762036515696306","-0.00323444168931014","0.00518553746753291","0.00874388057126057","0.0164767892698376","-0.00407270505925135","-0.0852838852292096","0.00800617055026515","-0.00653874146468214","0.00955672027460457","-0.0033084741215007","0.00351592326524817","-0.00796268822676029","-0.00186757942329413","0.000503655772421716","0.0216250467314642","0.0241690460322322","100","10%"
"t = 0.752422756273407","-0.00370751263677807","-0.0749460795541708","-0.00261266265621399","0.0063158444938581","0.01057803803993","0.0187559013130852","-0.00358297678410455","-0.0882422639312835","0.00745802686490621","-0.00832019204083835","0.0099428983951735","-0.0038167380554479","0.00319712843793855","-0.00817753955719777","-0.00203696138947064","0.000623744955583654","0.0234731624382654","0.0263209435884682","100","10%"
"t = 0.775604470997381","-0.0033063194086384","-0.0735262253793769","-0.00198060988717848","0.00759270967679831","0.0137077171491503","0.0223550008352875","-0.00339821817896754","-0.0912395992040497","0.00698222326830058","-0.00991252183712916","0.0115188475183186","-0.00277814284029097","0.00311805843878365","-0.00822206409305238","-0.00180893181569832","0.00119021494118308","0.0259255452757707","0.0291029791643566","100","10%"
"t = 0.798786185721354","-0.00319083449860461","-0.0720546004846802","0.000586256646936632","0.0106018534626024","0.0173251545055865","0.0263665740245569","-0.00358891049859601","-0.0943959599300561","0.00807657259747812","-0.00989173138758158","0.0136861112090734","-0.00126567119997549","0.00331060273598613","-0.0078781124518555","-0.00139575554633727","0.00193302961858454","0.027935101729764","0.0314441750486757","100","10%"
"t = 0.821967900445328","-0.0029065752602766","-0.070235915959546","0.000403496634858862","0.0110365175874565","0.0179004711106232","0.0274253301108343","-0.00361908303260019","-0.0972164285509647","0.00658554178401142","-0.0127479823319382","0.0133430587812022","-0.00261456489555621","0.00338666342022084","-0.00759943452070608","-0.00135868640945319","0.00235467389668054","0.0298093351820152","0.0336948300095823","100","10%"
"t = 0.845149615169301","-0.00275916403206113","-0.0683065276661205","-0.000494948749441893","0.0105200314508446","0.0185886430192125","0.0284067118900148","-0.00381424798881496","-0.09994606758881","0.00461648324590837","-0.0164976072526577","0.013080494264316","-0.00412884916561154","0.00363995218710297","-0.00705222456290966","-0.000945612499476397","0.00318532361064398","0.0318313046516747","0.0361252187711839","100","10%"
"t = 0.868331329893275","-0.00188071164837981","-0.0656593547590885","0.00068149681316663","0.0120915272881387","0.0212794150643946","0.031339124755794","-0.00324839420783831","-0.10166611830647","0.00509351920905921","-0.017606918057739","0.0149847445560306","-0.00334127311272881","0.00327939999774961","-0.00692363926063844","-0.00129368072372686","0.00322946732126261","0.0331029558419863","0.0377894362477663","100","10%"
"t = 0.891513044617248","-0.00114024144078732","-0.0626719221087295","-2.67942073197699e-05","0.0119786229042965","0.0214656913496894","0.0319787775715474","-0.00275133746222853","-0.102706789424693","0.00353899377722106","-0.0203951339275296","0.0144815522115268","-0.00456655537958364","0.00299456110379747","-0.00694584899744976","-0.00161037015211989","0.0033581839893323","0.0343726969824484","0.0394962199232745","100","10%"
"t = 0.914694759341222","-0.000701495093471491","-0.0600432045217311","-0.00125664549213242","0.011462577580779","0.0213881579415985","0.0325445805245135","-0.0027203184313961","-0.104479914676383","0.00145410935503467","-0.0237639939329979","0.0135266367621351","-0.00618778127205581","0.0030251653298825","-0.00622863754858049","-0.00156786929889836","0.00390727976365304","0.0359853099416835","0.0416216161072102","100","10%"
"t = 0.937876474065195","-0.00040000354789495","-0.0572423307284522","-0.000970612424462675","0.0120920937576093","0.0227501457930671","0.0341724775521417","-0.00277025337517322","-0.105606599749662","0.0001942783764986","-0.0262882908936221","0.0139059439088985","-0.00646397442980225","0.00312471273257862","-0.00563536401743043","-0.00140822316665811","0.00457229551180085","0.0374312752447431","0.0435511620103088","100","10%"
"t = 0.961058188789168","-8.30958697756967e-05","-0.0542439258923564","0.00239865229946622","0.0155242844268042","0.0269481747592279","0.0383269393127352","-0.00277566647906208","-0.106315372459147","0.00208677920801096","-0.0252955589223515","0.0171777290566546","-0.00345273155780325","0.00321105116837188","-0.00498395639533049","-0.000724834476988293","0.00573549869097563","0.0393548801493726","0.0459414599035979","100","10%"
"t = 0.984239903513142","0.000683656528183651","-0.0507798759412613","0.00237092435987494","0.0159546308187224","0.0292277684210494","0.0409575510388624","-0.00233167580143537","-0.106222691072269","0.000980651670588902","-0.0277014130006489","0.0187987862616645","-0.00229303882506423","0.00287593530810213","-0.00470190473960026","-0.00115900512469474","0.00584485289495785","0.0404393215945654","0.0475314377187854","100","10%"
"t = 1.00742161823712","0.00156736982311975","-0.0471807559592692","0.00143321905547618","0.0155312951313175","0.0301211296102894","0.0421743480504186","-0.00166177193645903","-0.105509695231334","-0.000970399437674455","-0.0307579963186023","0.0193669998566459","-0.00197063284779547","0.0022786349413245","-0.00460225264740952","-0.00188374832656804","0.00569714424678869","0.0410327552407737","0.0486391867974368","100","10%"
"t = 1.03060333296109","0.001991608580405","-0.0438185533139547","0.00329534629567145","0.0173629636884092","0.0327597072414411","0.0446800499503504","-0.00166079860426307","-0.104907520879119","-0.000385910005085286","-0.0309416081752513","0.0215758833822948","-1.51560753695248e-05","0.00239625610293159","-0.0038014097159691","-0.00131726286599837","0.00679285502956942","0.0425686778810457","0.0506701454112","100","10%"
"t = 1.05378504768506","0.00271969867901802","-0.0402237937651515","0.0046335957414888","0.0186492076297241","0.0357184157728515","0.0475217643899138","-0.00117373804811537","-0.10338811633796","-0.000224948718451741","-0.0319431761279487","0.0243204433119069","0.00253629193840067","0.00205143781558948","-0.00340590856761019","-0.00161585237090176","0.00706354230290019","0.0433751483172479","0.0519865567462484","100","10%"
"t = 1.07696676240904","0.0031559659385983","-0.0366851225589872","0.00427704192999446","0.018388579039171","0.0368442436995252","0.0486804934656897","-0.00108024321092285","-0.101706450598083","-0.00203156093200571","-0.0346437168693935","0.025026830836748","0.00313220201449942","0.00211875182172315","-0.00257375278117775","-0.00145185355034537","0.00788076208357239","0.0446357473857726","0.0538252288691273","100","10%"
"t = 1.10014847713301","0.00350909480376169","-0.0332853528519699","0.00407235906819976","0.0181235280229905","0.0379514565810566","0.0497341999892634","-0.000932182518046064","-0.0996364055763828","-0.00324403825529509","-0.0364081967192307","0.0261065774628385","0.00423379007935551","0.00210153018931925","-0.00173542353805602","-0.00117604856555959","0.00875570849969699","0.0455901417352006","0.0553155905026617","100","10%"
"t = 1.12333019185698","0.00440783380192132","-0.029392848014868","0.00477561729682799","0.0188561309347988","0.0399010585022443","0.0516317049214185","-0.000162297915326982","-0.0964287031664697","-0.00332428934307774","-0.0364826295444248","0.0282900728848548","0.00707896773834556","0.00132493241886743","-0.00177598094067094","-0.001874496817376","0.00864324226948391","0.0458791941646323","0.0561092229875558","100","10%"
"t = 1.14651190658096","0.00539631896952429","-0.0254386718449887","0.00552345037011968","0.0197211683208443","0.0426378985110235","0.0542912816478466","0.00075089604617216","-0.0926458956860848","-0.00305951261540604","-0.0363314411355966","0.0316259672339069","0.0109766429492983","0.000354323092755454","-0.00201411727310553","-0.00290546608393722","0.00820195829579642","0.0459383398817103","0.0566585647949526","100","10%"
"t = 1.16969362130493","0.00588677627149355","-0.0217834841051336","0.0071164993504822","0.0212949860111244","0.0462733486805418","0.0577902204458293","0.000986503080778264","-0.0888587398222616","-0.00230344843372701","-0.0349428358392453","0.0359424272985679","0.0165772521200378","0.000158594943880369","-0.00147523260281967","-0.00286134965060676","0.0088521618817311","0.046631628093987","0.0578192576124935","100","10%"
"t = 1.1928753360289","0.00626474309939247","-0.0181830239332185","0.00622139711572796","0.0202963980643405","0.045809055132777","0.057105354685649","0.00109290207066299","-0.0846944041013409","-0.00428409600657856","-0.0365784496580792","0.035364273817895","0.0165574808154933","8.97698696907731e-05","-0.000768205018492124","-0.00277680355839967","0.00960581743155659","0.0472197883076162","0.0590148702122372","100","10%"
"t = 1.21605705075288","0.00657562985869252","-0.0146307783302481","0.00639567156962193","0.0199507078344346","0.0470108960849124","0.0578345383579735","0.00122754105574602","-0.0801076792496863","-0.00474895957277706","-0.0370718971413829","0.0371232752035822","0.0190366849881946","-1.15436388265001e-06","-0.000117240476158294","-0.00295933661551745","0.0100529557959191","0.0473707021569898","0.0596935866285216","100","10%"
"t = 1.23923876547685","0.00661929530775755","-0.0113356693612363","0.00693060318865221","0.0198194486154679","0.0485304766598254","0.0586745506378166","0.000876258971101603","-0.0755077421339332","-0.00459290670775985","-0.0365628911092868","0.0395029614783689","0.0221407418483167","0.00030562313205185","0.00109927164336715","-0.00257044907789708","0.0110646108258783","0.0480012507230743","0.0608451883965475","100","10%"
"t = 1.26242048020082","0.00683433323791799","-0.00790418925049559","0.00477581497311484","0.0174549115359073","0.0476990468184946","0.0575693693969326","0.000809846982098235","-0.0701826819171225","-0.00864040390829819","-0.0396278498566363","0.0383532679989001","0.0225738661688609","0.000524924044083719","0.0021773943768738","-0.00201615365716309","0.0124098591081387","0.0489479935752533","0.0624514556291839","100","10%"
"t = 1.2856021949248","0.0068674576977166","-0.00457625272031312","0.00661474444354584","0.0187244494202003","0.0507456008378741","0.0600579682000825","0.00035379602308753","-0.0644942504440606","-0.00730811265981295","-0.0365525779764763","0.0422196510210351","0.028277696948816","0.0010281529091618","0.00344373104398078","-0.00101402899907437","0.0139618207920216","0.0501461459596524","0.0640725275511331","100","10%"
