"","ame.cox","ame.po","ame.kmdr.clog","ame.kmdr.logit","ame.dr.ig.clog","ame.mdr.ig.logit","me.cox.x = 0.5","me.po.x = 0.5","me.kmdr.clog.x = 0.5","me.kmdr.logit.x = 0.5","me.dr.ig.clog.x = 0.5","me.dr.ig.logit.x = 0.5","cdf.cox.x = 0.5","cdf.po.x = 0.5","cdf.kmdr.clog.x = 0.5","cdf.kmdr.logit.x = 0.5","cdf.dr.ig.clog.x = 0.5","cdf.dr.ig.logit.x = 0.5","n","cens.level"
"t = 0.498107133663685","0.0159592404646911","0.0553197045364825","0.0297859455313574","0.0288915948412624","0.0287484202760984","0.0279118681336623","0.0134283797322767","0.0409511739536189","0.0217036092564955","0.0229251880245509","0.0209722029178237","0.0221537123241335","0.00678909590422136","0.0105148369748258","0.00761186203703144","0.00765998420112191","0.00759874103435334","0.00764087977583711","1600","30%"
"t = 0.521279345422736","0.0167842769705706","0.0573415174373755","0.0306387991982625","0.0296629945770012","0.0295914163661192","0.0289550374919673","0.0141891098474539","0.0440357473135345","0.0226319449834374","0.0240483840028419","0.0228326972740743","0.0242421552468469","0.00715895509912468","0.011176135615722","0.00800838899738167","0.00806110396652462","0.0118764093497898","0.0124244804437947","1600","30%"
"t = 0.544451557181786","0.0173209785211504","0.0590124846489823","0.0315037933470231","0.0304878828946945","0.0308111884727636","0.0305030122932903","0.0146676393519698","0.0470323928647452","0.0234464867652439","0.0250447361370922","0.0244087206476094","0.0258644795346097","0.00738194064799159","0.0117451575273003","0.00828965869265079","0.00834743602899621","0.0196436742261276","0.0204280940791023","1600","30%"
"t = 0.567623768940837","0.0180429224452706","0.0607130174048752","0.0326751424013586","0.0315624216818442","0.0326068469242496","0.032527440924163","0.015388510707057","0.0504264432226534","0.0246981762779899","0.0265441939366254","0.0263036727657329","0.0278263893956274","0.00775051202560281","0.0122692510229384","0.00873429323261087","0.00880713881491931","0.0279830937919421","0.0289569548511559","1600","30%"
"t = 0.590795980699887","0.0184929900061735","0.061874217019102","0.0333655645490898","0.0322461788075667","0.0347324185587019","0.0349462794651481","0.0158440799224999","0.0535325670095648","0.0256566357907838","0.0277066472464193","0.0282201963998738","0.0297174245095877","0.00801310173669465","0.0127773000553666","0.00900519922100245","0.0090921070464751","0.0360866526090481","0.0372440269144261","1600","30%"
"t = 0.613968192458938","0.0191049489700721","0.062936686956454","0.0343892059256935","0.0331821099490295","0.0371256102637417","0.0376567370245107","0.016407393744679","0.0567971609198866","0.0267488230289471","0.0290708918271651","0.0300217611053308","0.0313442565908472","0.0082236699517287","0.0131628311519492","0.00919484064713362","0.00930531880855861","0.0441574912319018","0.0455030238270423","1600","30%"
"t = 0.637140404217988","0.0198310090080875","0.0639835495007012","0.0349320787207308","0.0337102845351425","0.0395066175497264","0.0404054511984175","0.0171024175228025","0.0603674572105567","0.0275207229188573","0.0301423462107681","0.0316070401071535","0.0327460542144494","0.00841608648297548","0.0133949588109324","0.00943422414498677","0.00960452903849261","0.0521522414746193","0.0536962595760173","1600","30%"
"t = 0.660312615977038","0.0207354739445785","0.0644932631441412","0.0358160465689232","0.0345907330698948","0.0422480401203944","0.0435374243176012","0.0180581537817328","0.0636484449957922","0.0286186552951369","0.0315660299695766","0.0333701426097394","0.0342116929753713","0.00884375181629468","0.0138574290748466","0.00989379797287905","0.0101007705373175","0.059818146480113","0.0615654659557508","1600","30%"
"t = 0.683484827736089","0.0212749147364438","0.0646826804654555","0.0362853775256349","0.0350463669939154","0.0451426522275733","0.0468442977166515","0.0186609113427184","0.0668045856440348","0.0293361571240207","0.0326961457489693","0.0354560266024778","0.0360556439090716","0.00913992798558928","0.0141540228323871","0.0102393531667378","0.0104866602355764","0.067077208830452","0.0690482086231941","1600","30%"
"t = 0.706657039495139","0.0221197476355398","0.0647289486941794","0.0371857759084544","0.0359525083132903","0.0489353525859786","0.0509866992061043","0.0195731083005093","0.0700136699345196","0.0305523380322508","0.0342825222270385","0.0385089839619557","0.0388416851414261","0.00932703852406162","0.0143411135076818","0.0103706640366629","0.0106823206599939","0.0740457182963853","0.0762508604766218","1600","30%"
