"n"	"PH-0%"	"PO-0%"	"DR-cll-0%"	"DR-logit-0%"	"DR-cll-ig-0%"	"DR-logit-ig-0%"	"PH-10%"	"PO-10%"	"DR-cll-10%"	"DR-logit-10%"	"DR-cll-ig-10%"	"DR-logit-ig-10%"	"PH-30%"	"PO-30%"	"DR-cll-30%"	"DR-logit-30%"	"DR-cll-ig-30%"	"DR-logit-ig-30%"
"cdf-bias"	100	0.125767480215795	0.777741841218898	0.436797841800514	1.32618418232202	0.436797841800514	1.32618418232202	0.376876674345243	0.702989048791591	0.565044340015259	1.60728106102497	3.80095990997705	4.77207780938544	0.112069527819063	0.734636376506232	0.875042535967293	1.81946642780118	10.4869014242399	11.0986330921778
"cdf-bias"	400	0.0523063422478597	0.946190931504132	0.0655178772611966	1.37372427014785	0.0655178772611966	1.37372427014785	0.0554958854668068	0.937571270363377	0.128722321493777	1.29692051510558	3.43660831044925	4.51627959306159	0.101860204408543	0.849460758936601	0.297356525958963	1.54472903842219	10.4779376761119	11.1222303308349
"cdf-bias"	1600	0.0735279319874326	0.965214113291596	0.0700587982086605	1.42346090052742	0.0700587982086605	1.42346090052742	0.0555852662945624	0.94000447405348	0.068670422879256	1.42165533269789	3.54469304291181	4.64134883275165	0.014715364127293	0.889655938378061	0.0625599800563083	1.39574883617143	10.4120040781199	11.0760998132477
"cdf-rmse"	100	4.08329157549494	4.21241647756192	4.48007155162811	4.59978109280517	4.48007155162811	4.59978109280517	4.39260335319659	4.43754615350694	4.88042761609152	5.02969340524603	5.88982969227587	6.52614593429712	4.99289772992069	4.91694186384262	5.88379831391036	5.91507399036932	11.3042386921062	11.8509529491221
"cdf-rmse"	400	2.09089574282136	2.41115837189568	2.26262276635753	2.68639508549133	2.26262276635753	2.68639508549133	2.16465636441945	2.46557081572184	2.33331737643787	2.71234366016575	4.07453596187338	5.02751956527988	2.4395873833221	2.59552799861637	2.75646732899337	3.15032770383723	10.6948939123543	11.3247808322031
"cdf-rmse"	1600	1.04809239615618	1.55698891853175	1.11735733930011	1.86323729646116	1.11735733930011	1.86323729646116	1.1043954428141	1.57797272406026	1.17894451623333	1.90105114495088	3.72706710439148	4.78608889879776	1.20573136413505	1.60589899583228	1.32299949417638	1.97607534186884	10.4696219747107	11.1300204193758
"adme-bias"	100	0.603983889195026	5.76264626691109	0.713551206146259	2.55129995396451	0.713551206146259	2.55129995396451	0.873312324369186	6.52797864425164	0.600799832564961	1.93186289444134	5.33372881397623	4.43042575990485	0.619821716262484	7.14435106463258	1.0681713395489	1.70434913706975	15.7598289231027	15.222382131514
"adme-bias"	400	0.0988868694496561	5.45079517110095	0.17899058055473	2.27733197310964	0.17899058055473	2.27733197310964	0.0745465912828621	5.64525275596257	0.172939318135352	2.14929310102128	5.24453472968735	4.16568468045176	0.317461218561653	6.52547091583377	0.575826825032305	2.01149395209259	16.5759069118738	15.9045597832009
"adme-bias"	1600	0.070171426984803	5.45575977958464	0.0419634149042988	2.08226169810821	0.0419634149042988	2.08226169810821	0.0613979224177851	5.64774401285285	0.0742936253046443	2.11068431323183	5.33189379723076	4.1932401300005	0.0719181958520132	6.25246554550893	0.068355567719718	2.0375990606876	16.4737025869247	15.7980742201276
"adme-rmse"	100	8.92920220555044	11.8467913025254	12.4460762284415	13.309979892413	12.4460762284415	13.309979892413	9.54772004821277	12.8866611669773	13.4742596447428	14.2463784245134	14.1568107775516	14.3184257321979	10.6543709166277	13.8966679717582	17.3402818822097	18.1491830887762	21.5931096440618	21.3306465720084
"adme-rmse"	400	4.63686826995134	7.87191582541512	6.196853904947	7.07185754728064	6.196853904947	7.07185754728064	4.40236972789847	7.78768015628667	6.28702639805107	7.14344455973411	8.3653972974421	7.83041627274979	5.19534307591251	8.98683033038627	7.72500946023181	8.43284249920556	18.3623729081923	17.7099422474314
"adme-rmse"	1600	2.19797323726336	6.20533184343199	3.0292113681661	4.05160890648409	3.0292113681661	4.05160890648409	2.31743210018018	6.40291905841191	3.19744870483813	4.20777351460189	6.48105316938558	5.45084040149817	2.56132941775439	7.04965338247381	3.81425641412285	4.70163839229505	17.0443276189547	16.356651563638
